Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-2_Full64; Runtime version N-2017.12-SP2-2_Full64;  Feb  6 22:00 2019
time =                 1345ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1350ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1355ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1360ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1365ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1370ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1375ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1380ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1385ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1390ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1395ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1400ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1405ns clk = 1 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
time =                 1410ns clk = 0 n_rst = 1 up_dwn = 0 count1=0 count2=  0 
 
$finish called from file "updownCounter_tb.sv", line 36.
$finish at simulation time                 1415
           V C S   S i m u l a t i o n   R e p o r t 
Time: 14150 ns
CPU Time:      0.250 seconds;       Data structure size:   0.0Mb
Wed Feb  6 22:00:44 2019
